client_name,truck_size,truck_origin_warehouse,delivery_timestamp,total_weight,brand_1_coffee_proportion,driver_id,is_fresh_client,postcode,business_category,floor,partnership_level,box_count,brand_2_coffee_proportion,brand_3_coffee_proportion
Campos-Arroyo,Van,Zona Franca,2022-02-10 20:10:52,72.06,0.98,D63,True,08020,Cafe/Restaurant,Ground Floor,Regular,6,0.0003775053684461075,0.01962249463155391
Campos-Arroyo,Truck,Baró de Viver,2022-01-09 12:00:10,7.11,0.47,D63,False,08020,Cafe/Restaurant,Ground Floor,Regular,2,0.25702869053445876,0.27297130946554127
"Fonseca, Llano and Merino",Van,Baró de Viver,2022-04-28 10:03:09,82.82,0.69,D63,False,08980,Cafe/Restaurant,Other,Regular,9,0.1702076607407076,0.13979233925929246
"Fonseca, Llano and Merino",Van,Baró de Viver,2022-04-05 10:48:22,78.37,0.55,D63,False,08980,Cafe/Restaurant,Other,Regular,7,0.05119137362939789,0.39880862637060205
"Fonseca, Llano and Merino",Van,Baró de Viver,2022-05-11 15:19:41,50.91,0.7,D63,False,08980,Cafe/Restaurant,Other,Regular,8,0.1540027127060134,0.14599728729398664
"Fonseca, Llano and Merino",Van,Zona Franca,2022-04-20 19:32:37,67.56,0.51,D63,False,08980,Cafe/Restaurant,Other,Regular,6,0.17602542772012422,0.3139745722798758
Lorenzo Ltd,Van,Baró de Viver,2022-03-18 20:31:17,110.97,0.67,D63,False,08002,Cafe/Restaurant,Street level,Key Account,9,0.11260992113792018,0.21739007886207978
Lorenzo Ltd,Van,Baró de Viver,2022-03-04 10:23:23,63.29,0.94,D63,False,08002,Cafe/Restaurant,Street level,Key Account,6,0.05371950511555079,0.006280494884449261
Lorenzo Ltd,Combi,Zona Franca,2022-03-04 14:54:07,46.26,0.64,D63,False,08002,Cafe/Restaurant,Street level,Key Account,7,0.2532007801410689,0.1067992198589311
Zorrilla-Acevedo,Combi,Baró de Viver,2022-05-08 10:13:07,68.38,0.57,D63,False,08024,Cafe/Restaurant,Ground Floor,Regular,6,0.21635414659353508,0.21364585340646497
Valbuena Group,Van,Baró de Viver,2022-02-08 18:09:29,101.95,0.62,D63,False,08015,Cafe/Restaurant,Ground Floor,Key Account,11,0.25391479925620714,0.12608520074379287
